year,Sector,Value,,,,,,,,,,,,,,,
2001,Transport,1249.1,,,,,,,,,,,,,,,
2001,Electricity.Supply,1507.9,,,,,,,,,,,,,,,
2001,Manufacturing,1188.3,,,,,,,,,,,,,,,
2001,Mining,253.9,,,,,,,,,,,,,,,
2001,Residential,398,,,,,,,,,,,,,,,
2001,Commercial,214.5,,,,,,,,,,,,,,,
2001,Other,200.1,,,,,,,,,,,,,,,
2002,Transport,1261.1,,,,,,,,,,,,,,,
2002,Electricity.Supply,1542.9,,,,,,,,,,,,,,,
2002,Manufacturing,1207.4,,,,,,,,,,,,,,,
2002,Mining,268.8,,,,,,,,,,,,,,,
2002,Residential,389,,,,,,,,,,,,,,,
2002,Commercial,221.9,,,,,,,,,,,,,,,
2002,Other,206.1,,,,,,,,,,,,,,,
2003,Transport,1265.9,,,,,,,,,,,,,,,
2003,Electricity.Supply,1566.7,,,,,,,,,,,,,,,
2003,Manufacturing,1175,,,,,,,,,,,,,,,
2003,Mining,254.3,,,,,,,,,,,,,,,
2003,Residential,411.6,,,,,,,,,,,,,,,
2003,Commercial,250.7,,,,,,,,,,,,,,,
2003,Other,210.4,,,,,,,,,,,,,,,
2004,Transport,1327.8,,,,,,,,,,,,,,,
2004,Electricity.Supply,1664.8,,,,,,,,,,,,,,,
2004,Manufacturing,1136.6,,,,,,,,,,,,,,,
2004,Mining,264.6,,,,,,,,,,,,,,,
2004,Residential,415,,,,,,,,,,,,,,,
2004,Commercial,255.9,,,,,,,,,,,,,,,
2004,Other,216.1,,,,,,,,,,,,,,,
2005,Transport,1358.1,,,,,,,,,,,,,,,
2005,Electricity.Supply,1706.4,,,,,,,,,,,,,,,
2005,Manufacturing,1163.7,,,,,,,,,,,,,,,
2005,Mining,285.9,,,,,,,,,,,,,,,
2005,Residential,410.9,,,,,,,,,,,,,,,
2005,Commercial,256.4,,,,,,,,,,,,,,,
2005,Other,213.5,,,,,,,,,,,,,,,
2006,Transport,1388.2,,,,,,,,,,,,,,,
2006,Electricity.Supply,1730.7,,,,,,,,,,,,,,,
2006,Manufacturing,1231.4,,,,,,,,,,,,,,,
2006,Mining,302.8,,,,,,,,,,,,,,,
2006,Residential,418,,,,,,,,,,,,,,,
2006,Commercial,259.4,,,,,,,,,,,,,,,
2006,Other,211.3,,,,,,,,,,,,,,,
2007,Transport,1425.7,,,,,,,,,,,,,,,
2007,Electricity.Supply,1807.8,,,,,,,,,,,,,,,
2007,Manufacturing,1258.7,,,,,,,,,,,,,,,
2007,Mining,321.9,,,,,,,,,,,,,,,
2007,Residential,426.7,,,,,,,,,,,,,,,
2007,Commercial,272.6,,,,,,,,,,,,,,,
2007,Other,205.2,,,,,,,,,,,,,,,
2008,Transport,1458,,,,,,,,,,,,,,,
2008,Electricity.Supply,1823.9,,,,,,,,,,,,,,,
2008,Manufacturing,1207.5,,,,,,,,,,,,,,,
2008,Mining,329.7,,,,,,,,,,,,,,,
2008,Residential,431.2,,,,,,,,,,,,,,,
2008,Commercial,274.5,,,,,,,,,,,,,,,
2008,Other,208.5,,,,,,,,,,,,,,,
2009,Transport,1460.1,,,,,,,,,,,,,,,
2009,Electricity.Supply,1913.9,,,,,,,,,,,,,,,
2009,Manufacturing,1171.4,,,,,,,,,,,,,,,
2009,Mining,369.4,,,,,,,,,,,,,,,
2009,Residential,437.4,,,,,,,,,,,,,,,
2009,Commercial,278.7,,,,,,,,,,,,,,,
2009,Other,213.2,,,,,,,,,,,,,,,
2010,Transport,1490.8,,,,,,,,,,,,,,,
2010,Electricity.Supply,1755.2,,,,,,,,,,,,,,,
2010,Manufacturing,1259.8,,,,,,,,,,,,,,,
2010,Mining,372.3,,,,,,,,,,,,,,,
2010,Residential,444.3,,,,,,,,,,,,,,,
2010,Commercial,284.4,,,,,,,,,,,,,,,
2010,Other,216.9,,,,,,,,,,,,,,,
2011,Transport,1524.4,,,,,,,,,,,,,,,
2011,Electricity.Supply,1682.6,,,,,,,,,,,,,,,
2011,Manufacturing,1330.6,,,,,,,,,,,,,,,
2011,Mining,407.5,,,,,,,,,,,,,,,
2011,Residential,454.1,,,,,,,,,,,,,,,
2011,Commercial,291.3,,,,,,,,,,,,,,,
2011,Other,212.4,,,,,,,,,,,,,,,
2012,Transport,1547.6,,,,,,,,,,,,,,,
2012,Electricity.Supply,1726.3,,,,,,,,,,,,,,,
2012,Manufacturing,1214.9,,,,,,,,,,,,,,,
2012,Mining,448.1,,,,,,,,,,,,,,,
2012,Residential,453.4,,,,,,,,,,,,,,,
2012,Commercial,286.7,,,,,,,,,,,,,,,
2012,Other,211.4,,,,,,,,,,,,,,,
2013,Transport,1574,,,,,,,,,,,,,,,
2013,Electricity.Supply,1600.1,,,,,,,,,,,,,,,
2013,Manufacturing,1278.9,,,,,,,,,,,,,,,
2013,Mining,500.9,,,,,,,,,,,,,,,
2013,Residential,455.1,,,,,,,,,,,,,,,
2013,Commercial,296.1,,,,,,,,,,,,,,,
2013,Other,211.6,,,,,,,,,,,,,,,
2014,Transport,1592.2,,,,,,,,,,,,,,,
2014,Electricity.Supply,1564.8,,,,,,,,,,,,,,,
2014,Manufacturing,1247.1,,,,,,,,,,,,,,,
2014,Mining,529.5,,,,,,,,,,,,,,,
2014,Residential,435.1,,,,,,,,,,,,,,,
2014,Commercial,291.5,,,,,,,,,,,,,,,
2014,Other,210.9,,,,,,,,,,,,,,,
2015,Transport,1623.3,,,,,,,,,,,,,,,
2015,Electricity.Supply,1650.4,,,,,,,,,,,,,,,
2015,Manufacturing,1126.1,,,,,,,,,,,,,,,
2015,Mining,521.2,,,,,,,,,,,,,,,
2015,Residential,443.8,,,,,,,,,,,,,,,
2015,Commercial,319.8,,,,,,,,,,,,,,,
2015,Other,213.9,,,,,,,,,,,,,,,
2016,Transport,1654.9,,,,,,,,,,,,,,,
2016,Electricity.Supply,1697.7,,,,,,,,,,,,,,,
2016,Manufacturing,1122.9,,,,,,,,,,,,,,,
2016,Mining,575.6,,,,,,,,,,,,,,,
2016,Residential,444.3,,,,,,,,,,,,,,,
2016,Commercial,314.1,,,,,,,,,,,,,,,
2016,Other,225.4,,,,,,,,,,,,,,,
2017,Transport,1690.1,,,,,,,,,,,,,,,
2017,Electricity.Supply,1662.6,,,,,,,,,,,,,,,
2017,Manufacturing,1092.6,,,,,,,,,,,,,,,
2017,Mining,666.3,,,,,,,,,,,,,,,
2017,Residential,453.6,,,,,,,,,,,,,,,
2017,Commercial,314.6,,,,,,,,,,,,,,,
2017,Other,224.8,,,,,,,,,,,,,,,
2018,Transport,1734.1,,,,,,,,,,,,,,,
2018,Electricity.Supply,1601.7,,,,,,,,,,,,,,,
2018,Manufacturing,1101.8,,,,,,,,,,,,,,,
2018,Mining,729.7,,,,,,,,,,,,,,,
2018,Residential,449,,,,,,,,,,,,,,,
2018,Commercial,319.2,,,,,,,,,,,,,,,
2018,Other,232.6,,,,,,,,,,,,,,,
2019,Transport,1746.6,,,,,,,,,,,,,,,
2019,Electricity.Supply,1566.4,,,,,,,,,,,,,,,
2019,Manufacturing,1081,,,,,,,,,,,,,,,
2019,Mining,812.4,,,,,,,,,,,,,,,
2019,Residential,457,,,,,,,,,,,,,,,
2019,Commercial,310.7,,,,,,,,,,,,,,,
2019,Other,214.2,,,,,,,,,,,,,,,
2020,Transport,1589.9,,,,,,,,,,,,,,,
2020,Electricity.Supply,1523.2,,,,,,,,,,,,,,,
2020,Manufacturing,1055,,,,,,,,,,,,,,,
2020,Mining,853.6,,,,,,,,,,,,,,,
2020,Residential,474.5,,,,,,,,,,,,,,,
2020,Commercial,298,,,,,,,,,,,,,,,
2020,Other,206.9,,,,,,,,,,,,,,,
2021,Transport,1418.3,,,,,,,,,,,,,,,
2021,Electricity.Supply,1455,,,,,,,,,,,,,,,
2021,Manufacturing,1042.9,,,,,,,,,,,,,,,
2021,Mining,850.4,,,,,,,,,,,,,,,
2021,Residential,484.1,,,,,,,,,,,,,,,
2021,Commercial,288.1,,,,,,,,,,,,,,,
2021,Other,230.5,,,,,,,,,,,,,,,
2022,Transport,1447.8,,,,,,,,,,,,,,,
2022,Electricity.Supply,1405.9,,,,,,,,,,,,,,,
2022,Manufacturing,1028.9,,,,,,,,,,,,,,,
2022,Mining,865.9,,,,,,,,,,,,,,,
2022,Residential,497.3,,,,,,,,,,,,,,,
2022,Commercial,296.1,,,,,,,,,,,,,,,
2022,Other,223.2,,,,,,,,,,,,,,,
2023,Transport,1622.1,,,,,,,,,,,,,,,
2023,Electricity.Supply,1378.3,,,,,,,,,,,,,,,
2023,Manufacturing,996.3,,,,,,,,,,,,,,,
2023,Mining,883.1,,,,,,,,,,,,,,,
2023,Residential,484.2,,,,,,,,,,,,,,,
2023,Commercial,308.1,,,,,,,,,,,,,,,
2023,Other,210.2,,,,,,,,,,,,,,,